Date	Duration	InformedConsent_Sens	Age	PostalCode	Provincie	Gender	Gender_3_TEXT	Education	Corona_Vaccinated	Satis_Income	LeftRight	Polinterest	Vote2019_Fed	ElecUtil_CDV	ElecUtil_GROEN	ElecUtil_NVA	ElecUtil_OPENVLD	ElecUtil_PVDA	ElecUtil_VOORUIT	ElecUtil_VB	VoteChoiceNow	SwitchMotive	PolicyEval_FEDERAL	PolicyEval_FLEMISH	PolicyEval_EU	PolicyEval_LOCAL	MIP_Open	MIP_Open_rc1	MIP_Open_rc2	MIP_Open_rc3	MIP_Closed_1	MIP_Closed_2	EconRegul_Self	EconRegul_Party_CDV	EconRegul_Party_GROEN	EconRegul_Party_NVA	EconRegul_Party_OPENVLD	EconRegul_Party_PVDA	EconRegul_Party_VOORUIT	EconRegul_Party_VB	Immi_Self	Immi_Party_CDV	Immi_Party_GROEN	Immi_Party_NVA	Immi_Party_OPENVLD	Immi_Party_PVDA	Immi_Party_VOORUIT	Immi_Party_VB	EnviEcon_Self	EnviEcon_Party_CDV	EnviEcon_Party_GROEN	EnviEcon_Party_NVA	EnviEcon_Party_OPENVLD	EnviEcon_Party_PVDA	EnviEcon_Party_VOORUIT	EnviEcon_Party_VB	FreedomSpeech_Self	StateReform_Self	Eval_Gov_1	Eval_Gov_2	IO_HealthCare	IO_HealthCare_T_Page_Submit	IO_Migration	IO_Migration_T_Page_Submit	IO_Climate	IO_Climate_T_Page_Submit	IO_Economy	IO_Economy_T_Page_Submit	IO_Employment	IO_Employment_T_Page_Submit	IO_Pensions	IO_Pension_T_Page_Submit	IO_SocialSecurity	IO_SocialSecurity_T_Page_Submit	IO_Mobility	IO_Mobility_T_Page_Submit	IO_StateReform	IO_StateReform_T_Page_Submit	Econ_LR_1	Econ_LR_2	Econ_LR_3	Econ_LR_4	Econ_LR_5	Econ_LR_6	Econ_LR_7	Econ_LR_8	Econ_LR_9	Econ_LR_10	Econ_LR_11	Econ_LR_12	Econ_LR_13	Econ_LR_14	Econ_LR_15	Cult_LR_1	Cult_LR_2	Cult_LR_3	Cult_LR_4	Cult_LR_5	Cult_LR_6	Cult_LR_7	Cult_LR_8	Cult_LR_9	Cult_LR_10	Cult_LR_11	Cult_LR_12	Cult_LR_13	Cult_LR_14	Cult_LR_15	SatisDem	Pol_represented	Pol_represented_rc	NoticedMedia	NoticedMedia_13_TEXT	Noticed_PosNeg	Noticed_Politician	Corona_measures_1	Corona_measures_2	Corona_measures_3	Corona_measures_4	Corona_measures_5	Corona_measures_6	Corona_measures_7	Corona_measures_8	Corona_measures_9	LockdownCause_1	LockdownCause_2	LockdownCause_3	LockdownCause_4	LockdownCause_5	Corona_Gov_FEDERAL	Corona_Gov_FLEMISH	Corona_Gov_EUROPE	Corona_Comparative	Corona_Minister_1	Corona_Minister_2	Corona_Minister_3	Corona_Minister_4	Corona_Minister_5	Corona_Minister_6	Corona_Minister_7	Corona_VacStrat_1	Corona_VacStrat_2	Corona_VacStrat_3	Corona_VacStrat_4	Corona_VacStrat_5	Corona_EconStrat_1	Corona_EconStrat_2	Corona_EconStrat_3	Disinfo_1	Disinfo_2	Disinfo_3	Disinfo_4	Disinfo_5	Disinfo_6	Disinfo_7	Disinfo_8	Disinfo_9	Disinfo_10	Disinfo_11	AP_Child_1	AP_Child_2	AP_Child_3	AP_Child_4	AP_Child_5	AP_Child_6	AP_Child_7	AP_Child_8	AP_Child_9	AP_LR_1	AP_LR_2	AP_LR_3	AP_LR_4	AP_LR_5	AP_LR_6	AP_LR_7	w_agesexedu	w_agesexeduvote19
19-Apr-2021 00:44:43	1001	1	46	9000	3	1	""	2	1	6	2	10	2	0	9	2	6	2	8	0	2	""	8	7	6	6	"klimaatdoelstellingen"	"Klimaat"	""	""	7	4	8	6	7	4	2	8	8	2	3	6	2	5	4	2	2	10	4	8	4	8	7	7	6	9	9	7	8	6	6	7.639	3	6.166	2	3.229	4	3.217	4	6.321	4	3.849	6	5.252	2	2.763	3	4.837	2	3	1	3	3	4	1	1	2	3	4	3	4	4	4	4	2	4	3	3	4	3	3	1	2	2	3	4	2	3	5	"geen"	"9997 - Geen enkele"	6	""	1	"Conner Rousseau"	3	3	4	3	3	3	3	3	2	5	9	6	6	5	4	4	4	4	4	4	4	4	2	2	4	3	1	3	3	4	3	3	2	2	3	2	4	1	3	1	4	2	5	3	9	9	8	9	8	9	9	9	3	6	1	8	6	0	1	10	1.2840019	1.3689789
13-Apr-2021 04:22:44	891	1	25	2380	1	2	""	3	3	10	5	5	3	0	0	10	0	0	0	8	3	""	7	7	7	7	"Men kan geen duidelijk antwoord geven omtrent alle omstandigheden, waardoor de bevolking moeizaam draait"	"PolVer - Partijen en Politici"	""	""	4	16	5	0	0	5	0	0	0	5	10	5	0	10	5	5	5	10	5	5	5	5	5	5	5	5	7	5	5	5	3	6.858	3	6.402	2	3.228	3	2.575	3	2.001	3	77.64400000000001	3	3.434	3	2.367	3	2.326	1	2	1	3	4	2	4	2	4	3	3	2	1	3	4	1	1	1	4	1	1	1	2	4	1	2	4	4	4	3	3	"bart de wever"	"N-VA - Bart De Wever"	3	""	1	"bart de wever"	3	4	4	1	4	4	4	2	4	5	5	5	5	5	3	3	3	2	3	3	3	3	3	3	3	4	1	2	2	2	2	4	4	2	3	2	1	3	3	3	3	4	3	5	10	0	5	0	5	5	5	5	5	5	0	5	5	5	5	5	.81288719	.92579591
1-Apr-2021 04:07:10	1164	1	67	8792	5	2	""	3	3	2	7	9	3	1	0	10	1	1	1	0	3	""	5	7	1	9	"Covid-19"	"Gezondheidszorg - Corona"	""	""	6	2	8	5	2	7	9	2	2	2	8	1	1	6	1	1	1	10	8	7	1	7	7	9	9	5	2	3	2	7	9	21.65	7	11.319	2	3.539	4	6.166	6	7.721	9	5.09	3	5.821	2	9.385999999999999	3	5.617	2	3	1	1	2	3	4	1	4	4	3	2	4	4	4	2	1	2	4	3	4	3	2	4	2	3	3	1	4	2	4	"geen"	"9997 - Geen enkele"	6	""	3	"de naamsverandering, Conner Rousseau, de babe in de politiek"	3	3	4	4	4	3	4	4	4	10	10	10	3	7	2	3	1	3	3	4	2	1	4	1	1	3	4	3	3	4	2	3	2	3	1	4	4	1	1	1	3	2	5	3	10	8	7	7	7	7	4	4	0	5	2	8	3	5	5	10	.83932525	.70920241
9-Apr-2021 04:55:33	567	1	51	9881	3	2	""	4	3	6	7	8	4	3	1	6	7	0	1	0	4	""	7	6	5	7	"teveel regeringen die een aantal zaken bemoeilijken zoals de coronapandemie en waardoor er ook hoge kosten zijn"	"PolVer - Staatsstructuur"	""	""	1	16	7	5	4	6	7	0	10	10	10	2	5	8	6	10	0	10	10	6	0	7	7	5	5	5	10	0	8	7	4	13.183	3	3.347	2	2.921	4	4.077	4	3.187	6	4.129	3	2.904	4	2.531	3	2.675	1	1	4	3	1	2	1	2	4	2	4	2	4	4	3	1	1	3	4	2	1	1	4	4	1	4	3	4	4	3	4	"Alexander De Croo"	"Open Vld - Alexander De Croo"	4	""	1	"Alexander De Croo"	4	4	4	4	4	4	4	4	4	10	10	10	10	10	5	5	3	4	5	5	4	3	4	3	3	4	1	4	4	4	4	3	1	1	1	1	1	1	1	1	1	1	5	1	10	5	5	1	5	5	0	5	0	5	2	7	6	10	1	10	.76115042	.8001098
15-Apr-2021 12:06:18	1497	1	67	2900	1	1	""	2	3	7	5	4	3	4	6	8	4	5	6	6	3	""	7	8	6	8	"covid"	"Gezondheidszorg - Corona"	""	""	6	8	5	6	5	5	3	6	5	5	6	3	3	7	2	4	5	8	6	6	3	6	8	5	7	6	5	5	5	7	10	19.154	7	13.909	2	463.566	10	10.513	6	13.691	6	8.786	6	7.974	10	12.041	1	11.699	3	2	2	3	3	3	3	2	2	3	3	2	3	2	3	3	1	3	3	3	3	3	3	3	2	3	2	3	3	3	4	"Bart De Wever"	"N-VA - Bart De Wever"	3	""	1	"De Wever"	3	3	4	4	4	3	3	3	3	6	8	7	8	6	4	4	3	3	3	3	4	4	4	2	3	3	2	3	3	4	3	2	3	3	3	2	3	3	3	3	3	3	4	3	8	7	7	7	7	7	7	7	7	4	6	6	4	5	5	6	1.1264274	1.0161321
2-Apr-2021 01:49:31	1213	1	60	8300	5	1	""	4	3	5	6	6	6	0	2	1	0	6	6	0	6	""	3	4	2	6	"veel te veel regeringen"	"PolVer - Staatsstructuur"	""	""	13	6	8	4	3	2	0	9	8	4	5	4	4	7	8	3	3	10	5	5	4	6	7	4	4	7	5	5	6	4	6	12.792	7	15.279	9	11.913	4	13.16	6	9.055999999999999	6	13.226	6	8.776	2	12.314	3	9.586	2	3	3	3	4	3	3	4	3	3	3	2	4	3	3	3	2	3	2	2	2	3	2	3	2	2	1	4	4	4	3	"roussau"	"VOORUIT - Conner Rousseau"	6	""	1	"de Coene"	4	2	4	3	4	3	3	3	3	7	10	7	10	4	2	2	2	4	3	4	4	1	2	1	3	3	2	2	2	4	2	2	3	1	1	1	2	1	1	1	4	1	4	3	6	5	4	4	5	3	6	6	2	5	4	6	8	3	3	10	.69998443	.60268867
30-Mar-2021 13:42:11	1688	1	36	8340	5	1	""	3	3	7	7	0	7	6	0	6	0	0	0	8	7	""	5	5	3	1	"het naleven van de coronamaatregelen"	"Gezondheidszorg - Corona"	""	""	6	16	5	5	4	8	5	5	5	8	10	3	3	7	4	3	3	9	5	5	0	5	5	5	5	5	5	3	5	5	10	9.678000000000001	7	4.993	2	3.802	1	3.293	10	6.063	10	2.166	9	4.022	10	2.267	10	1.97	2	3	2	3	2	2	2	2	4	3	3	2	4	3	3	3	1	2	4	2	3	1	3	4	1	2	4	2	2	2	3	"hilde crevits"	"CD&V - Hilde Crevits"	14	""		""	3	3	3	3	3	3	4	3	3	5	10	5	9	5	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	3	3	9	6	5	1	5	5	5	5	7	5	5	5	5	5	5	5	1.2130499	.89949262
10-Apr-2021 07:11:46	683	1	48	9900	3	1	""	3	3	7	5	6	4	0	5	0	8	0	6	0	4	""	7	8	7	8	"laksheid van politie en justitie, criminaliteit, vluchtelingen"	"Criminaliteit en Justitie"	""	""	2	1	7	7	7	8	8	5	7	8	6	2	2	7	2	2	2	9	7	4	1	6	8	2	5	8	7	9	8	8	6	11.333	7	18.281	2	4.041	4	3.037	1	4.434	6	3.611	7	3.293	2	3.116	1	6.339	2	2	2	4	3	2	2	2	4	4	3	2	4	2	2	1	1	3	4	4	2	4	3	4	1	2	2	4	2	3	4	"geen enkele"	"9997 - Geen enkele"	4	""	3	"Shimane El kauoakibi"	3	2	3	2	4	3	4	3	2	0	9	9	0	0	3	3	3	3	4	4	4	3	3	3	3	3	2	4	3	4	3	1	2	1	2	3	2	1	1	2	3	4	4	5	9	7	5	7	5	9	1	8	0	4	5	8	6	1	3	10	.85759383	1.0592066
6-Apr-2021 06:43:29	1240	1	55	3000	4	1	""	5	3	9	3	8	6	4	7	2	3	6	10	0	2	"Ik niet zo hard opgezet met de marketing rond de naamswijziging. De nadruk ligt te weinig op de inhoud.
En dan kies ik als alternatief voor het probleem van de climate change."	7	6	8	9	"Gebrek aan samenhorigheid in de politiek, veroorzaakt door particratie, ontbrekend staatsmanschap."	"PolVer - Partijen en Politici"	""	""	5	15	8	7	9	1	3	10	8	6	3	3	1	8	4	0	2	10	4	5	3	9	8	9	8	9	6	5	8	5	9	23.483	7	8.856	2	4.265	3	5.443	6	9.896000000000001	6	4.079	6	2.98	2	12.717	3	4.331	1	1	3	1	3	3	2	3	3	4	2	1	3	2	3	4	2	3	2	4	4	3	3	2	3	3	4	4	3	3	2	"Frank Vandebroucke"	"VOORUIT - Frank Vandenbroucke"	6	""	2	"Frank Vandenbroucke positief / Conner Rousseau negatief"	3	4	4	1	4	3	3	4	2	7	10	10	2	3	4	2	4	3	5	5	4	2	2	1	1	4	2	4	3	4	1	2	2	1	2	1	3	1	1	1	5	2	5	5	7	5	4	8	4	5	6	6	0	5	2	8	7	0	1	10	.85072452	.7540611
3-Apr-2021 14:17:08	1376	1	50	8377	5	2	""	4	3	7	6	3	4	3	2	4	6	0	0	0	4	""	3	3	3	8	"Iedereen houdt een paraplu boven het hoofd.  Men wil alleen corona-cijfers omlaag krijgen, geen rekening houdend met alle negatieve gevolgen voor het welzijn van de mensen, de economie.  Het is een politiestaat in plaats van een democratisch land."	"Maatschappelijke evoluties"	"Gezondheidszorg - Corona"	"Welzijn"	11	10	3	7	8	1	3	9	9	1	7	2	1	7	6	1	1	8	3	3	0	7	7	4	3	7	9	10	3	3	10	11.773	10	10.125	2	7.128	4	11.286	10	4.035	9	6.832	9	3.727	9	3.472	3	7.3	3	3	1	2	3	3	4	1	3	3	2	3	1	2	4	2	1	2	3	2	3	4	4	2	2	2	3	2	3	2	2	"onze burgemeester"	"Andere - Alain De Vlieghe"	14	""		""	1	1	1	1	1	1	1	1	1	5	5	8	3	5	2	2	1	3	3	1	3	4	3	3	3	2	3	2	3	3	2	3	3	2	3	5	2	3	1	1	5	3	5	4	10	10	9	9	9	9	5	5	5	5	4	8	7	0	2	9	.68905705	.77006233
31-Mar-2021 11:59:11	1008	1	63	2000	1	1	""	4	3	3	3	5	2	1	10	2	2	2	10	0	6	"behandeling covid"	8	8	8	8	"versnippering"	"PolVer - Staatsstructuur"	""	""	6	13	4	5	8	2	1	9	8	4	0	0	0	1	0	0	0	10	6	6	5	4	3	7	4	8	7	7	8	7	2	12.934	7	12.681	2	8.726000000000001	4	6.7	3	9.452999999999999	1	12.394	6	9.397	4	10.079	3	7.541	1	3	4	4	4	4	3	1	1	4	3	3	3	3	4	3	2	3	2	3	4	4	3	1	3	4	2	4	1	3	4	"geen"	"9997 - Geen enkele"	6	""	1	"neen"	2	2	2	2	4	2	2	2	2	9	3	9	9	3	4	4	4	3	3	5	4	2	4	3	2	3	2	4	3	4	3	2	2	1	1	1	1	1	1	1	1	1	5	1	9	9	5	5	5	5	5	5	1	5	2	6	6	0	1	10	.63059205	.65509665
2-Apr-2021 02:15:43	815	1	63	9190	3	1	""	4	3	7	5	7	4	5	5	5	6	2	2	2	4	""	7	7	7	7	"covid"	"Gezondheidszorg - Corona"	""	""	1	5	7	5	4	5	6	4	4	4	3	5	4	5	5	3	4	7	7	5	3	5	6	5	4	5	7	5	7	7	4	15.027	5	11.877	2	11.279	4	9.923	1	11.735	9	8.289	10	4.736	2	6.05	3	11.107	3	3	3	2	3	3	3	3	3	3	3	2	2	3	3	3	2	3	2	3	3	3	3	2	3	3	3	3	3	3	4	"de croo"	"Open Vld - Alexander De Croo"	4	""	1	"verschillende personen"	3	3	3	3	3	3	3	3	3	7	4	6	7	6	4	4	4	3	4	3	4	2	4	2	2	3	2	3	3	3	3	2	3	3	2	3	2	3	3	2	3	2	4	3	7	7	7	7	7	7	7	7	7	5	3	7	6	3	3	7	.77322114	.89302731
